"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"238","True","2020-06-01 10:03:58",NA,"EN","Tamil Nadu","Erode","2","30-39","Female","2","No",NA,"Yes","0","1-5","2","1","1","2","1","1","1","1","1","3","3","1","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","1","1","3","3","1","1","3","3",NA,"9565",NA,NA
"230","True","2020-06-01 10:04:18",NA,"EN","Kerala","THIRUVANANTHAPURAM","4","30-39","Male","2","Yes","DRIVER","Yes","0","0","0","4","2","0","0","0","0","0","0","3","3","0","0","0","0","0","2","0","0","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2102",NA,NA
"109","True","2020-06-01 10:04:25",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","2","Yes","MANAGER","Yes","6-10","1-5","5","3","5","4","6","5","6","4","5","3","6","4","5","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","4","3","4","3","3","4","4","2","4","3",NA,"5275",NA,NA
"162","True","2020-06-01 10:05:50",NA,"EN","Kerala","thiruvananthapuram","4","20-29","Male","1","Yes","teacher","No","6-10","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6152",NA,NA
"256","True","2020-06-01 10:06:00",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","6","7+","6","7+","6","7+","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"7624",NA,NA
"743","True","2020-06-01 10:06:12",NA,"EN","Maharashtra","Mumbai","5+","40-49","Female","2","No",NA,"No","1-5","0","3","1","0","1","0","0","0","0","3","1","0","0","0","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1","0","1","0","0","0",NA,NA,NA,NA,"7383",NA,NA
"125","True","2020-06-01 10:06:20",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","4","5","4","5","4","5","4","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","5+","4","5+","4","5+","4",NA,"8977",NA,NA
"274","True","2020-06-01 10:06:24",NA,"EN","Maharashtra","Mumbai","3","30-39","Female","0","Yes","Desktop engineer","No","1-5","0","1","3","1","1","0","0","0","2","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","0","0","0","1","1","0","0","0","0",NA,"4182",NA,NA
"192","True","2020-06-01 10:06:51",NA,"EN","Maharashtra","mumbai","4","50-59","Male","0","Yes","managerial","Yes","1-5","0","0","1","1","0","1","1","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3819",NA,NA
"201","True","2020-06-01 10:06:58",NA,"EN","Tamil Nadu","Madurai","3","30-39","Female","0","Yes","Sales","No","0","0","0","2","1","0","1","0","0","0","0","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"7039",NA,NA
"167","True","2020-06-01 10:07:00",NA,"EN","Tamil Nadu","Coimbatore","3","30-39","Male","0","Yes","educator","Yes","1-5","6-10","2","5","3","6","5","2","4","4","3","2","4","2","3","1","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","1","3","2","2","1","3","2","0","1",NA,"3045",NA,NA
"132","True","2020-06-01 10:07:03",NA,"EN","Tamil Nadu","MADURAI","2","30-39","Male","1","Yes","IT","No","1-5","1-5","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7626",NA,NA
"131","True","2020-06-01 10:07:05",NA,"EN","Tamil Nadu","MADURAI","1","0-19","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"5422",NA,NA
"220","True","2020-06-01 10:08:22",NA,"EN","Tamil Nadu","THOOTHUKUDI","2","30-39","Female","1","Yes","OFFICE ASSITANT","No","1-5","1-5","2","2","2","2","2","2","2","1","1","1","1","2","2","2","1","2","1","2","1","2","1","1","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1063",NA,NA
"127","True","2020-06-01 10:09:33",NA,"EN","Tamil Nadu","coimbatore","2","20-29","Male","1","Yes","educator","Yes","1-5","6-10","0","5","2","4","3","1","5","0","0","5","0","2","1","4","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","0","1","3","2","1","3","2","1","4","2",NA,"9932",NA,NA
"228","True","2020-06-01 10:10:10",NA,"EN","Maharashtra","Mumbai","4","40-49","Female","0","No",NA,"No","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","0","0","0","0","0",NA,"7295",NA,NA
"168","True","2020-06-01 10:10:15",NA,"EN","Rajasthan","Kota","1","30-39","Male","2","Yes","Engineer",NA,"0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","1","2","0","0","1","1","1","0",NA,NA,"3667",NA,NA
"192","True","2020-06-01 10:10:24",NA,"EN","Kerala","cherthala","3","30-39","Male","0","Yes","Service engineer","Yes","1-5","0","1","4","0","1","3","0","0","0","1","3","2","0","3","0","0","0","3","2","0","0","3","3","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3237",NA,NA
"169","True","2020-06-01 10:10:34",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","6","5","6","7+","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2998",NA,NA
"349","True","2020-06-01 10:10:40",NA,"EN","Tamil Nadu","Tirupur","2","20-29","Female","1","Yes","Project manager","Yes","1-5","0","1","3","1","0","1","1","0","0","2","4","1","1","2","1","2","1","1","1","1","1","2","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3207",NA,NA
"257","True","2020-06-01 10:10:54",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Female","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"1005",NA,NA
"222","True","2020-06-01 10:10:59",NA,"EN","Tamil Nadu","madurai","4","30-39","Male","1","Yes","I.T","Yes","1-5","1-5","4","3","4","3","4","3","4","3","4","3","4","3","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","2","3","2","3","2","3","2","3","2",NA,"7285",NA,NA
"282","True","2020-06-01 10:11:43",NA,"EN",NA,"Antwerp","5+","40-49","Female","2","No",NA,"Yes","0","1-5","0","1","1","0","1","0","0","4","0","1","1","0","1","0","0","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","1","0","0","0","0","0",NA,"3139",NA,NA
"92","True","2020-06-01 10:12:45",NA,"EN","Tamil Nadu","madurai","4","30-39","Male","4","Yes","I.T","Yes","1-5","1-5","4","3","4","3","4","3","4","3","4","3","4","3","4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","2","3","2","3","2","3","2","3","2",NA,"3369",NA,NA
"149","True","2020-06-01 10:12:49",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7274",NA,NA
"84","True","2020-06-01 10:12:55",NA,"EN","Tamil Nadu","madurai","2","20-29","Female","1","Yes","it","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7996",NA,NA
"237","True","2020-06-01 10:13:03",NA,"EN","Maharashtra","nagpur","5+","30-39","Male","2","Yes","fitter","No","1-5","1-5","6","5","4","5","4","3","3","3","5","4","3","4","2","2","1","1","2","1","3","2","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1166",NA,NA
"77","True","2020-06-01 10:13:15",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Female","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"9688",NA,NA
"85","True","2020-06-01 10:13:29",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"1754",NA,NA
"147","True","2020-06-01 10:13:39",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","5","6","7+","5","6","4","5","4","5","4","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"2772",NA,NA
"123","True","2020-06-01 10:13:53",NA,"EN","Tamil Nadu","Madurai","5+","20-29","Male","5+","Yes","DATA ENTRY OPERATOR","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","5","6","7+","5","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4645",NA,NA
"119","True","2020-06-01 10:15:20",NA,"EN","Kerala","Kochi","4","20-29","Male","1","Yes","clerk","Yes","1-5","0","1","2","2","3","4",NA,"0","0","1","2","2","3","3","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1","1","1","1","1","1","0","0","0",NA,"7711",NA,NA
"294","True","2020-06-01 10:15:47",NA,"EN","Tamil Nadu","MADURAI","2","30-39","Male","1","Yes","IT","No","1-5","1-5","6","7+","6","7+","7+","6","7+","6","6","7+","6","7+","6","7+","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"4665",NA,NA
"405","True","2020-06-01 10:15:48",NA,"EN","Maharashtra","Mumbai","5+","40-49","Male","1","Yes","Business","Yes","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7045",NA,NA
"146","True","2020-06-01 10:16:13",NA,"EN","Tamil Nadu","SIVAGANGAI","2","20-29","Male","0","Yes","MANAGER","No","0","0","1","2","1","1","2",NA,"1","1","1","2","1","2","1","2","1","2","1","2","1","2","2","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6871",NA,NA
"175","True","2020-06-01 10:16:24",NA,"EN","Tamil Nadu","madurai","2","20-29","Female","2","Yes","it","No","1-5","1-5","6","6","7+","5","6","7+","7+","5","5","6","7+","6","7+","5","6","7+","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6910",NA,NA
"82","True","2020-06-01 10:16:24",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"5162",NA,NA
"682","True","2020-06-01 10:16:27",NA,"EN","Maharashtra","Mumbai Maharashtra","3","40-49","Female","0","Yes","Teacher","No","1-5","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","5+","0","0","1","5+","0","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3575",NA,NA
"180","True","2020-06-01 10:17:01",NA,"EN","Tamil Nadu","Chennai","5+","40-49","Male","2","Yes","Manager","Yes","1-5","1-5","1","5","3","3","3","0","0","0","3","3","3","3","3","3","3","3","4","3","1","1","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2396",NA,NA
"133","True","2020-06-01 10:17:10",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","5","6","7+","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"1499",NA,NA
"348","True","2020-06-01 10:17:34",NA,"EN","Tamil Nadu","Chennai","4","20-29","Male","2","Yes","Engineering","No","0","0","0","2","0","0","5","0","0","0","0","3","0","0","6","0","0","0","1","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5245",NA,NA
"292","True","2020-06-01 10:18:16",NA,"EN","Maharashtra","Mumbai","4","50-59","Male","1","Yes","Consultant","No","0","0","1","3","4","4","4","3","2","1","1","1","1","4","4","4","3","2",NA,NA,NA,NA,NA,NA,NA,NA,"0","2","2","5+","5+","0","0","2","3","5+","5+","0",NA,"8895",NA,NA
"98","True","2020-06-01 10:18:20",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500",NA,NA
"138","True","2020-06-01 10:18:33",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"6269",NA,NA
"148","True","2020-06-01 10:18:45",NA,"EN","Maharashtra","mumbai","3","20-29","Male","1","Yes","accountant","No","1-5","0","3","5","2","1","1","1","0","0","2","3","0","3","0","3","0","0","3","1","4","0","3","1","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1894",NA,NA
"118","True","2020-06-01 10:19:09",NA,"EN","Tamil Nadu","madurai","2","20-29","Female","1","Yes","it","No","1-5","1-5",NA,NA,NA,NA,NA,NA,NA,NA,"5","6","7+","5","6","7+","6","5","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6631",NA,NA
"161","True","2020-06-01 10:19:32",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Female","1","Yes","ID","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","5","6","7+","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"3812",NA,NA
"249","True","2020-06-01 10:20:43",NA,"EN","Maharashtra","Mumbai","4","40-49","Male","3","Yes","Diamonds","Yes","1-5","0","0","2","0","0","1","0","0","1","1","2","2","1","2","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","2","1","1","1","0","5+",NA,"6466",NA,NA
"180","True","2020-06-01 10:20:48",NA,"EN","Tamil Nadu","Chennai","2","20-29","Male","1","Yes","Engineering","No","1-5","1-5","1","3","1","0","2","1","0","1","1","3","2","0","5","2","1","1","1","2","0","0","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6764",NA,NA
"104","True","2020-06-01 10:21:54",NA,"EN","Kerala","malappuram","4","20-29","Male","0","Yes","engineer","No","16+","1-5","0","1","4","4","3","4","4","3","1","2","3","3","2","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","2","3","4","5+","0","1","2","3","4","4",NA,"6835",NA,NA
"101","True","2020-06-01 10:22:57",NA,"EN","Tamil Nadu","MADURAI","2","20-29","Female","1","Yes","ID","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","5","6","7+","5","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"5807",NA,NA
"118","True","2020-06-01 10:23:15",NA,"EN","Tamil Nadu","MADURAI","5+","20-29","Male","2","Yes","DATA ENTRY OPERATOR","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","5","6","7+","5","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7586",NA,NA
"109","True","2020-06-01 10:26:05",NA,"EN","Tamil Nadu","Chennai","4","30-39","Female","4","Yes","Part time jobs","Yes","6-10","1-5","2","3","4","3","3","6","2","5","2","4","4","7+","3","2","5","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","3","3","2","4","2","2","3","3","3","3",NA,"9396",NA,NA
"242","True","2020-06-01 10:27:46",NA,"EN","Maharashtra","Mumbai","5+","50-59","Male","3","No",NA,"Yes","1-5","0","3","1","1","1","0","0","0","0","2","1","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","0","0","0","0","0","0","0","0",NA,"6476",NA,NA
"190","True","2020-06-01 10:28:28",NA,"EN","Tamil Nadu","NAMAKKAL","2","30-39","Female","0","Yes","ACCOUNTANT","Yes","0","0","1","2","2","0","1","0","0","0","2","1","2","2","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1","2","1","1","0","0","1","0","0",NA,"2538",NA,NA
"351","True","2020-06-01 10:28:48",NA,"EN","Tamil Nadu","Coimbatore","4","50-59","Male","0","Yes","consultant","No","0","0","1","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5102",NA,NA
"111","True","2020-06-01 10:29:22",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","IT","No","1-5","1-5","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1109",NA,NA
"323","True","2020-06-01 10:29:33",NA,"EN","Tamil Nadu","Tanjavur","3","30-39","Female","0","Yes","Teacher","No","0","0","1","2","0","0","0","0","0","0","5","2","1","0","0","0","0","1","2","3","2","3","3","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6871",NA,NA
"464","True","2020-06-01 10:29:49",NA,"EN","Maharashtra","Mumbai","3","40-49","Female","1","No","House wife","No","6-10","0","2","1","2","1","2","0","1","1","2","2","2","2","2","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1","1","1","1","2","2","1","1","2",NA,"5364",NA,NA
"111","True","2020-06-01 10:32:18",NA,"EN","Maharashtra","Mumbai","3","30-39","Male","1","Yes","Manager","No","1-5","0","2","4","2","3","3","3","1","3","3","2","3","2","5","4","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"2","5+","4","2","4","2","2","2","4","3","2","2",NA,"2671",NA,NA
"314","True","2020-06-01 10:32:47",NA,"EN","Rajasthan","Banswara","4","40-49","Male","0","Yes","Businessman","Yes","1-5","0","2","1","1","0","1","0","0","0","4","2","2","1","2","1","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","1","1","1","3","3","2","2","2","3","4",NA,"9981",NA,NA
"418","True","2020-06-01 10:33:43",NA,"EN","Maharashtra","Mumbai","5+","50-59","Male","2","Yes","Director","No","1-5","0","0","2","0","1","1","1","0","6","0","2","0","1","1","0",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","3","0","5+","1","0","0","2",NA,NA,NA,"5560",NA,NA
"504","True","2020-06-01 10:34:24",NA,"EN","West Benagal","Kolkata","3","40-49","Male","1","Yes","Sel-employed","Yes","1-5","0","0","2","1","0","0","0","0","0","0","2","1","0","1","0","0","0","1","0","1","1","1","2","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9505",NA,NA
"298","True","2020-06-01 10:34:48",NA,"EN","Tamil Nadu","Pondicherry","3","30-39","Male","1","Yes","Service Manager","Yes","1-5","0","4","6","6","5","7+","2","6","2","1","3","1","0","3","1","0","0","0","1","1","2","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9568",NA,NA
"140","True","2020-06-01 10:35:00",NA,"EN","Tamil Nadu","chennai","3","30-39","Female","0","Yes","Embedded Engineer","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9660",NA,NA
"203","True","2020-06-01 10:35:21",NA,"EN","Kerala","trivandrum","3","60+","Female","1","No",NA,"Yes","0","0","0","1","1","0","1","0","0","0","0","1","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","1","1","1","0","2","2",NA,"4986",NA,NA
"167","True","2020-06-01 10:36:22",NA,"EN","Tamil Nadu","MADURAI","5+","20-29","Male","2","Yes","DATA ENTRY OPERATOR","No","1-5","1-5","5","6","7+","5","6","7+","5","6","5","6","7+","5","6","7+","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","4","5+","4","5+","4","5+",NA,"4947",NA,NA
"95","True","2020-06-01 10:36:41",NA,"EN","Tamil Nadu","Chennai","3","30-39","Female","0","No",NA,"No","1-5","1-5","1","3","2","1","1","1","1","1","1","2","1","1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1",NA,"6649",NA,NA
"244","True","2020-06-01 10:37:10",NA,"EN","Tamil Nadu","Chennai","5+","30-39","Female","2","Yes","Manager","Yes","1-5","0","1","2","3","1","4","0","0","0","1","2","2","1","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","0","1","2","1","1","1","0","1","1",NA,"2617",NA,NA
"148","True","2020-06-01 10:37:26",NA,"EN","West Benagal","Kolkata","3","40-49","Male","1","Yes","self-employed","Yes","1-5","0","0","2","1","0","0","0","0","0","0","2","1","0","0","0","0","0","1","1","0","1","1","2","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7927",NA,NA
"414002","True","2020-06-01 10:37:35",NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mturk","5841",NA,NA
"297","True","2020-06-01 10:37:58",NA,"EN","Maharashtra","Mumbai","5+","40-49","Female","2","No",NA,"Yes","1-5","0","1","1","0","0","2","0","0","2","1","1","1","0","2","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","2","0","0","1","0","1",NA,"6005",NA,NA
"133","True","2020-06-01 10:38:22",NA,"EN","Tamil Nadu","Chennai","3","30-39","Male","2","Yes","Senior Engineer","No","1-5","11-15","5","4","4","5","4","2","2","1","3","4","2","3","2","3","2","3","3","3","1","1","3","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2865",NA,NA
"127","True","2020-06-01 10:38:51",NA,"EN","Tamil Nadu","Chennai","3",NA,"Female","0","No",NA,"Yes","0","16+","1","3","3","2","1","1","1","1","1","2","2","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","5+","5+","5+","5+","5+","5+",NA,"5629",NA,NA
"155","True","2020-06-01 10:40:01",NA,"EN","Tamil Nadu","erode","5+","30-39","Male","1",NA,"mturk","No","0","0","5","6","6","7+","6","5","6","7+","5","6","7+","6","5","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5+","4","3","4",NA,"3","3","2","1","2",NA,"8614",NA,NA
"84","True","2020-06-01 10:41:23",NA,"EN","Tamil Nadu","madurai","3","30-39","Male","0","Yes","IT","No","1-5","1-5","6","7+","5","6","7+","6","6","7+","6","7+","5","6","7+",NA,"6","5","5+","3","5+","4","5+","4","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7273",NA,NA
"144","True","2020-06-01 10:41:50",NA,"EN","Tamil Nadu","Madurai","3","20-29","Male","0","Yes","IT","No","0","0","0","1","0","1","1","2","0",NA,"0","2","1","0","1","0","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","2","1","0","2","1","0","2","1","2","1",NA,"2813",NA,NA
"158","True","2020-06-01 10:43:43",NA,"EN","Andra Pradhesh","Visakhapatnam","4","20-29","Male","1","Yes","Supervisor","Yes","1-5","1-5","1","2","5","4","3","0","0","0","1","5","6","4","3","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","1","0","0","1","2","1","0","0","0","0",NA,"4790",NA,NA
"306","True","2020-06-01 10:43:59",NA,"EN","Kerala","THIRUVANANTHAPURAM","4","30-39","Male","2","Yes","Software Engineer","No","1-5","1-5","5","6","5","4","5","4","5","4","4","5","3","4","3","4","3","5",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","4","3","3","4","2","3","3","2","3",NA,"2081",NA,NA
"184","True","2020-06-01 10:45:14",NA,"EN","Tamil Nadu","chennai","3","30-39","Female","1","No",NA,"No","0","0","0","4","1",NA,"1","0","1","0","0","2","1","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","1","1","1","1","1","1","0","1","1",NA,"9184",NA,NA
"68","True","2020-06-01 10:45:53",NA,"EN","Tamil Nadu","CHENNAI","4","20-29","Female","1","Yes","MANAGER","Yes","6-10","1-5","4","5","4","5","4","5","4","5","3","4","3","4","3","4","3","4","2","3","2","3","2","3","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5587",NA,NA
